moy,dom,hod,Toutdoor,Qheat_profile,Q_dhw_profile,Q_house_profile
1.0,5.0,18.0,7.7,1.0766818355717536,0.0,1.0766818355717536
1.0,5.0,19.0,7.4,1.1279523991704086,0.315,1.4429523991704085
1.0,5.0,20.0,7.3,1.145042587036627,0.105,1.250042587036627
1.0,5.0,21.0,7.4,1.1279523991704086,0.735,1.8629523991704087
1.0,5.0,22.0,7.3,1.145042587036627,1.505,2.650042587036627
1.0,5.0,23.0,7.1,1.1792229627690636,0.0,1.1792229627690636
1.0,5.0,24.0,7.1,1.1792229627690636,0.0,1.1792229627690636
1.0,6.0,1.0,7.0,1.1963131506352818,0.0,1.1963131506352818
1.0,6.0,2.0,6.8,1.2304935263677186,0.0,1.2304935263677186
1.0,6.0,3.0,6.9,1.2134033385015002,0.0,1.2134033385015002
1.0,6.0,4.0,6.1,1.3501248414312468,0.0,1.3501248414312468
1.0,6.0,5.0,6.1,1.3501248414312468,0.0,1.3501248414312468
1.0,6.0,6.0,5.6,1.4355757807623384,0.0,1.4355757807623384
1.0,6.0,7.0,4.7,1.5893874715583032,0.0,1.5893874715583032
1.0,6.0,8.0,4.9,1.5552070958258664,1.6099999999999999,3.165207095825866
1.0,6.0,9.0,5.7,1.41848559289612,0.42,1.83848559289612
1.0,6.0,10.0,6.1,1.3501248414312468,0.21,1.5601248414312467
1.0,6.0,11.0,6.6,1.2646739021001552,0.105,1.3696739021001552
1.0,6.0,12.0,7.0,1.1963131506352818,0.21,1.4063131506352817
1.0,6.0,13.0,7.4,1.1279523991704086,0.315,1.4429523991704085
1.0,6.0,14.0,7.0,1.1963131506352818,0.0,1.1963131506352818
1.0,6.0,15.0,6.7,1.2475837142339368,0.105,1.3525837142339368
1.0,6.0,16.0,6.0,1.367215029297465,0.105,1.472215029297465
1.0,6.0,17.0,5.5,1.4526659686285566,0.105,1.5576659686285566
1.0,6.0,18.0,4.7,1.5893874715583032,0.0,1.5893874715583032
1.0,6.0,19.0,4.4,1.640658035156958,0.315,1.955658035156958
1.0,6.0,20.0,4.5,1.6235678472907396,0.105,1.7285678472907395
1.0,6.0,21.0,5.2,1.5039365322272116,0.735,2.2389365322272115
1.0,6.0,22.0,5.2,1.5039365322272116,1.505,3.0089365322272115
1.0,6.0,23.0,5.8,1.4013954050299016,0.0,1.4013954050299016
1.0,6.0,24.0,5.9,1.3843052171636832,0.0,1.3843052171636832
1.0,7.0,1.0,4.7,1.5893874715583032,0.0,1.5893874715583032
1.0,7.0,2.0,4.2,1.6748384108893948,0.0,1.6748384108893948
1.0,7.0,3.0,4.0,1.7090187866218312,0.0,1.7090187866218312
1.0,7.0,4.0,4.8,1.5722972836920845,0.0,1.5722972836920845
1.0,7.0,5.0,5.0,1.5381169079596482,0.0,1.5381169079596482
1.0,7.0,6.0,5.0,1.5381169079596482,0.0,1.5381169079596482
1.0,7.0,7.0,4.6,1.6064776594245214,0.0,1.6064776594245214
1.0,7.0,8.0,4.6,1.6064776594245214,1.6099999999999999,3.2164776594245215
1.0,7.0,9.0,4.9,1.5552070958258664,0.42,1.9752070958258663
1.0,7.0,10.0,5.2,1.5039365322272116,0.21,1.7139365322272115
1.0,7.0,11.0,5.8,1.4013954050299016,0.105,1.5063954050299015
1.0,7.0,12.0,6.2,1.3330346535650284,0.21,1.5430346535650283
1.0,7.0,13.0,6.5,1.2817640899663734,0.315,1.5967640899663733
1.0,7.0,14.0,6.7,1.2475837142339368,0.0,1.2475837142339368
1.0,7.0,15.0,6.7,1.2475837142339368,0.105,1.3525837142339368
1.0,7.0,16.0,6.5,1.2817640899663734,0.105,1.3867640899663733
1.0,7.0,17.0,5.6,1.4355757807623384,0.105,1.5405757807623384
1.0,7.0,18.0,5.3,1.486846344360993,0.0,1.486846344360993
1.0,7.0,19.0,5.8,1.4013954050299016,0.315,1.7163954050299015
1.0,7.0,20.0,5.8,1.4013954050299016,0.105,1.5063954050299015
1.0,7.0,21.0,5.2,1.5039365322272116,0.735,2.2389365322272115
